土地移轉總面積平方公尺,都市土地使用分區,交易年月,建物大於1,車位數,樓層比例,建物型態,是否透天,是否投資透天,主要用途,屋齡缺失,屋齡,建物移轉總面積平方公尺,是否毛胚,建物現況格局-房,有無管理組織,單價,總價元,車位類別,車位總價元,特殊交易,電梯,latitude,longitude,與竹科距離_km,mean_price_per_unit,high_price_decorated
6.51,商,11309,0,0,0.714285714,華廈,0,0,住家用,0,33.4,44.6,0,1,1,100448.4305,4480000,無,0,0,1,24.812889,120.9788824,4.414674173,121461.6097,0
9.93,住,11310,0,0,1,華廈,0,0,住家用,0,28.3,44.82,0,1,1,93708.166,4200000,無,0,0,1,24.8145174,120.9566556,6.174381723,91338.52666,0
5.78,住,11309,0,0,0.166666667,大樓,0,0,住家用,0,32.8,45.21,0,1,1,88476.00088,4000000,無,0,0,1,24.8103763,120.9551301,6.045827444,112133.3245,0
11,住,11308,0,0,0.857142857,華廈,0,0,住家用,0,32.5,46.93,0,1,1,110803.3241,5200000,無,0,0,1,24.8231608,120.9735482,5.648822231,101571.4975,0
4.62,商,11309,0,0,0.583333333,大樓,0,0,住家用,0,33.2,48.06,0,1,1,104036.6209,5000000,無,0,0,1,24.7976564,120.9635547,4.64035224,114714.5319,0
4.62,商,11307,0,0,0.666666667,大樓,0,0,住家用,0,33,48.06,0,1,1,95713.69122,4600000,無,0,0,1,24.7976564,120.9635547,4.64035224,114714.5319,0
19.67,住,11212,0,0,1,華廈,0,0,住家用,1,0,49.63,0,1,1,145073.5442,7200000,無,0,0,1,24.8033807,120.9521655,5.948711787,92859.02529,1
3.96,住,11307,0,1,1,大樓,0,0,住家用,0,27.9,49.65,0,1,1,78952.66868,3920000,坡道機械,0,0,1,24.8028787,120.9764229,3.80264054,137728.0794,0
9.92,住,11308,0,0,1,公寓,0,0,住家用,0,34.8,49.81,0,2,0,114434.8524,5700000,無,0,0,0,24.7956131,120.9988568,1.70824777,134530.6047,0
7.92,住,11302,0,0,0.066666667,大樓,0,0,商業用,0,3.3,49.87,1,0,1,90234.60999,4500000,無,0,1,1,24.8392222,120.9312975,9.883351693,91700.29016,0
37.7,非,11310,0,0,1.1,透天厝,1,0,住家用,0,7.1,49.97,1,0,1,69241.54493,3460000,無,0,1,0,24.778003,120.9504518,5.626342833,77344.90604,0
10.03,住,11309,0,0,0.636363636,大樓,0,0,住家用,0,16.7,50.15,0,1,1,205782.652,10320000,無,0,0,1,24.7881204,121.0166937,1.304025687,166165.0927,1
14.1,其,11311,0,0,-1,華廈,0,0,住家用,0,19.9,50.46,0,1,1,85216.01268,4300000,無,0,0,1,24.7764321,120.9675578,3.924428413,75248.88734,0
14.1,其,11307,0,0,-1,華廈,0,0,住家用,0,19.5,50.46,0,1,1,94133.9675,4750000,無,0,0,1,24.7764321,120.9675578,3.924428413,75248.88734,1
8.89,商,11307,0,0,1,華廈,0,0,住家用,0,33.5,51.23,0,1,1,70271.3254,3600000,無,0,0,1,24.7828731,121.0130598,0.732758899,166342.1319,0
6.66,住,11307,0,0,0.8,華廈,0,0,辦公用,0,15.4,51.36,0,2,1,146028.0374,7500000,無,0,1,1,24.8031634,120.9553927,5.641709873,96260.3165,1
5.24,商,11310,0,0,0.8,華廈,0,0,其他,0,33.6,51.55,0,1,1,79049.46654,4075000,無,0,0,1,24.8026247,120.969729,4.339124025,134645.0238,0
9.2,住,11308,0,0,0.666666667,華廈,0,0,住家用,0,26.2,52.15,0,1,1,151102.5887,7880000,無,0,0,1,24.7898182,120.9992448,1.133518475,153136.7614,0
5.64,商,11304,0,0,0.727272727,大樓,0,0,商業用,0,113.4,52.39,1,0,1,70815.04104,3710000,無,0,0,1,24.8133785,120.9633677,5.560122651,109559.6048,0
5.27,商,11310,0,0,0.583333333,大樓,0,0,住家用,0,31.2,52.75,0,2,1,125118.4834,6600000,無,0,0,1,24.7967189,120.9615814,4.788039614,114434.664,0
6.25,住,11308,0,0,0.888888889,華廈,0,0,住家用,0,30.7,52.86,0,1,1,79455.16459,4200000,無,0,0,1,24.8172034,120.9738857,5.103823175,108770.737,0
7.76,住,11307,0,0,0.444444444,華廈,0,0,商業用,0,26.6,52.98,0,1,1,101925.2548,5400000,無,0,0,1,24.801084,120.9828914,3.175789258,124826.38,0
23.95,住,11307,0,0,0.2,華廈,0,0,住家用,0,24.6,53.93,0,1,0,148340.4413,8000000,無,0,0,1,24.7774441,121.0260614,2.086059784,150486.4886,0
3.83,商,11308,0,0,0.461538462,大樓,0,0,住家用,0,21.7,54.95,0,1,1,72793.44859,4000000,無,0,1,1,24.8132633,120.9803287,4.35881778,125293.5038,0
10.61,住,11308,0,1,0.333333333,華廈,0,0,住家用,0,26.2,55.9,0,1,1,132021.4669,7380000,平面,1100000,0,1,24.7899507,120.9987029,1.178569266,153136.7614,0
18.97,住,11310,0,1,0.6,華廈,0,0,住家用,0,1.1,56.06,0,2,1,196218.3375,11000000,其他,0,0,1,24.8114281,120.9827744,4.04912458,128591.4306,1
7.32,住,11309,0,1,1,華廈,0,0,辦公用,0,15.6,56.4,0,2,1,148049.6454,8350000,坡道機械,0,0,1,24.8031634,120.9553927,5.641709873,96260.3165,1
7.32,住,11309,0,1,0.8,華廈,0,0,辦公用,0,15.6,56.4,0,2,1,166666.6667,9400000,坡道機械,0,0,1,24.8031634,120.9553927,5.641709873,96260.3165,1
7.32,住,11308,0,1,0.3,華廈,0,0,辦公用,0,15.5,56.41,0,2,1,152455.2384,8600000,坡道機械,0,0,1,24.8031634,120.9553927,5.641709873,96260.3165,1
13.92,住,11308,0,0,0.2,華廈,0,0,住家用,0,28.1,56.99,0,1,1,114055.0974,6500000,無,0,0,1,24.8143126,120.9569987,6.13299081,92143.66182,1
5.35,住,11309,0,0,0.5,華廈,0,0,住家用,0,26.8,57.24,0,4,1,139762.4039,8000000,無,0,0,1,24.7919823,121.0071248,1.154530114,166179.1625,0
10.42,非,11309,0,0,0.833333333,大樓,0,0,住家用,0,16.8,57.46,0,1,1,200139.2273,11500000,無,0,0,1,24.7817133,121.0181417,1.233361505,156253.925,1
5.45,商,11308,0,0,0.7,華廈,0,0,其他,0,33.4,57.86,0,1,1,82094.71137,4750000,無,0,0,1,24.8026247,120.969729,4.339124025,134645.0238,0
4.7,商,11307,0,0,0.357142857,大樓,0,0,住家用,0,26.4,57.9,0,1,1,99309.15371,5750000,無,0,0,1,24.801004,120.960474,5.074981691,97198.26443,0
44.79,非,11310,0,0,0.6,公寓,0,0,住家用,0,23.5,58.16,0,3,1,56740.02751,3300000,無,0,0,0,24.7537721,120.9521086,6.257867789,49251.23886,1
19.67,住,11212,0,1,0.6,華廈,0,0,住家用,1,0,58.89,0,1,1,133638.9879,7870000,其他,0,0,1,24.8033807,120.9521655,5.948711787,92859.02529,1
4.64,工,11309,0,1,0.538461538,大樓,0,0,辦公用,0,16,58.98,0,1,1,156324.1777,9220000,平面,1100000,0,1,24.7849631,121.0179678,1.271015931,163788.6725,0
19.79,住,11212,0,1,0.4,華廈,0,0,住家用,1,0,59.24,0,1,1,126603.6462,7500000,其他,0,0,1,24.8033807,120.9521655,5.948711787,92859.02529,1
19.79,住,11212,0,1,0.8,華廈,0,0,住家用,1,0,59.24,0,1,1,132005.4018,7820000,其他,0,0,1,24.8033807,120.9521655,5.948711787,92859.02529,1
9.05,住,11309,0,0,0.2,大樓,0,0,住家用,0,12.7,59.77,0,2,1,184038.8155,11000000,無,0,0,1,24.7925881,121.0088035,1.249338822,168143.5643,0
18.14,住,11308,0,0,1,華廈,0,0,住家用,0,113.8,60.17,0,2,0,121821.5057,7330000,無,0,0,1,24.8200873,120.9775045,5.141109527,102725.9721,1
4.47,商,11310,0,0,0.615384615,大樓,0,0,住家用,0,21.9,60.2,0,1,1,124584.7176,7500000,無,0,0,1,24.8132633,120.9803287,4.35881778,125293.5038,0
6.6,商,11309,0,0,0.111111111,華廈,0,0,商業用,0,34.1,60.22,1,0,1,199269.3457,12000000,無,0,0,1,24.7981887,120.9738893,3.725373356,119466.1826,1
6.18,商,11304,0,0,0.727272727,大樓,0,0,商業用,0,113.4,60.5,1,0,1,70909.09091,4290000,無,0,0,1,24.8133785,120.9633677,5.560122651,109559.6048,0
5.22,商,11310,0,0,0.642857143,大樓,0,0,其他,0,31.5,60.91,0,1,1,44327.6966,2700000,無,0,0,1,24.7982517,120.9629017,4.726726513,124787.2213,0
32.53,商,11307,0,0,1.1,透天厝,1,0,商業用,0,113.7,61.29,1,0,0,176211.4537,10800000,無,0,0,0,24.805049,120.965646,4.831585063,120133.3905,1
