土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,移轉層次,總樓層數,建物型態,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易,電梯
台灣新竹市新竹市東大路二段６２２之１０號十一樓之５,新竹市新竹市東大路二段６２２之１０號十一樓之５,32.82,非,110,1,建物1車位1,0,1,十一層,十四層,大樓,住家用,113,6,1,0,149.47,3,2,2,有,12780000,坡道平面,18.61,540000,0,有
台灣新竹市新竹市東大路二段６２２之１０號五樓之３,新竹市新竹市東大路二段６２２之１０號五樓之３,32.82,非,110,1,建物1車位1,0,1,五層,十四層,大樓,住家用,113,6,1,0,149.47,3,2,2,有,12110000,坡道平面,18.61,540000,0,有
台灣新竹市新竹市中華路六段６４７巷１３６弄６４０號,新竹市新竹市中華路六段６４７巷１３６弄６４０號,89.56,非,113,10,建物1車位0,0,0,全,三層,透天厝,住家用,113,6,0,0.4,149.5,3,2,3,有,12980000,,0,0,0,無
台灣新竹市新竹市東大路二段６２２之１０號十四樓之１,新竹市新竹市東大路二段６２２之１０號十四樓之１,32.29,非,110,1,建物1車位1,0,1,十四層,十四層,大樓,住家用,113,6,1,0,149.5,3,2,2,有,12480000,坡道平面,21.61,650000,0,有
台灣新竹市新竹市明湖路２４３巷１７６號七樓,新竹市新竹市明湖路２４３巷１７６號七樓,43.88,住,110,5,建物1車位1,0,1,七層,七層,華廈,住家用,113,4,1,0,149.59,3,2,2,有,12220000,坡道平面,24.78,650000,0,有
台灣新竹市新竹市明湖路２４３巷１７０號二樓,新竹市新竹市明湖路２４３巷１７０號二樓,43.95,住,110,5,建物1車位1,0,1,二層,七層,華廈,住家用,113,4,1,0,149.78,3,2,2,有,11490000,坡道平面,24.78,600000,0,有
台灣新竹市新竹市東大路二段６２２之３號四樓之１,新竹市新竹市東大路二段６２２之３號四樓之１,32.82,非,110,1,建物1車位1,0,1,四層,十四層,大樓,住家用,113,6,1,0,149.78,3,2,2,有,11940000,坡道平面,18.93,560000,0,有
台灣新竹市新竹市東大路二段６２２之３號十樓之２,新竹市新竹市東大路二段６２２之３號十樓之２,32.82,非,110,1,建物1車位1,0,1,十層,十四層,大樓,住家用,113,6,1,0,149.78,3,2,2,有,12680000,坡道平面,18.93,540000,0,有
台灣新竹市新竹市東大路二段６２２號二樓之２,新竹市新竹市東大路二段６２２號二樓之２,32.82,非,110,1,建物1車位1,0,1,二層,十四層,大樓,住家用,113,6,1,0,149.99,3,2,2,有,12610000,坡道平面,19.36,610000,0,有
台灣新竹市新竹市尚濱路７０號六樓之２,新竹市新竹市尚濱路７０號六樓之２,22.75,住,113,8,建物1車位1,0,1,六層,十三層,大樓,住家用,96,12,0,16.6,150.08,3,2,2,有,12380000,坡道平面,0,0,0,有
